Title;Year;Rated;Genre;Runtime (Minutes);Rating;Votes;Director;Star 1;Star 2;Star 3;Star 4
Misteri Pasar Kaget;2012;13+; Drama, Horror            ;79 min;5,5;9;Wimbadi J.P.;Kiki Nuriswan;Erly Ashy;Permata Sari Harahap;Liek Suyatno
My Diaries;2020;TV-Y; Adventure, Comedy, Family            ;94 min;5,3;17;Angling Sagaran;Kila Putri Alam;Slamet Rahardjo;Widuri Sasono;Widi Mulia
Claudia/Jasmine;2008;13+; Comedy, Drama            ;102 min;7,4;58;Awi Suryadi;Kirana Larasati;Kinaryosih;Mieke Amalia;Nino Fernandez
Epen Cupen the Movie;2015;SU; Comedy            ;91 min;5,3;48;Irham Acho Bahtiar;Klemen Awi Celo;Babe Cabita;Marissa Nasution;Edward Gunawan
Mau Dong... Ah;2009;13+; Comedy            ;90 min;2,6;12;Christian Pauli;Komeng;Julia Perez;Damien Perez;Andi Soraya
Anda Puas Saya Loyo;2008;13+; Comedy            ;82 min;2,9;8;K.K. Dheeraj;Komeng;Ruben Onsu;Bedu;Ryan Syehan
Senggol Bacok;2010;13+; Comedy            ;100 min;6;22;Iqbal Rais;Kunto Aji;Jonny Iskandar;Kinaryosih;Marcella Lumowa
Identitas;2009;13+; Drama            ;92 min;6,7;40;Aria Kusumadewa;Kunun Nugroho;Tio Pakusadewo;Leony Vitria Hartanti;Ray Sahetapy
PSP: Gaya Mahasiswa;2019;13+; Comedy            ;96 min;5,4;31;Hilman Mutasi;Kunun Nugroho;Uus;Adjis Doaibu;David Schaap
A Tree Growing Inside My Head;2016;13+; Short, Drama            ;17 min;;;Rachmat Hidayat Mustamin;Kurniawati;Ibnu Abduh Reza;Wandy;N/A
Saksi Mata;2011;13+; Short, Fantasy, Thriller            ;21 min;;;Zacky Aulia El Syahiq;Kusen Dony Hermansyah;Al Muhtadi;Rudolf Puspa;Muhammad Nur Qomaruddin
Rumah dan Bunga Matahari;2018;13+; Short, Drama            ;13 min;;;I Kadek Jaya Wiguna;Lady Dhiana;Tina Roostiati;Wirman Simago;Johan Yanuar
Trip to the Wound;2008;13+; Short, Drama            ;7 min;6,9;16;Edwin;Ladya Cheryl;Carlo Genta;N/A;N/A
Fiksi.;2008;TV-MA; Thriller            ;90 min;7,7;482;Mouly Surya;Ladya Cheryl;Donny Alamsyah;Kinaryosih;Soultan Saladin
Biarkan Bintang Menari;2003;13+; Drama, Musical            ;112 min;5,9;56;Indra Yudhistira;Ladya Cheryl;El Manik;Memes;Stephanie Pascalia
