Title;Year;Rated;Genre;Runtime (Minutes);Rating;Votes;Director;Star 1;Star 2;Star 3;Star 4
The Sacred Riana 2: Bloody Mary;2022;13+; Drama, Horror            ;103;7,5;20;Billy Christian;The Sacred Riana;Brooklyn Alif Rea;Frisly Herlind;Sharon Sahertian
Penetralia Dance - Unity In Diversity;2018;13+; Short, Drama            ;6;9;17;William Sanjaya;Thia Agustin;Angel;David Awe;Nathania Edlin
Sebelah mata;2008;13+; Drama, Sport            ;116;8,4;14;Rudy Soedjarwo;Thya Ariestya;Abimana Aryasatya;Rina Hassim;Aimee Juliette
I Love You Masbro;2012;13+; Drama            ;97;4,6;12;Raymond Handaya;Thya Ariestya;Epy Kusnandar;Mayang Naomi;Joe Project P.
My Sassy Girl;2022;TV-14; Comedy, Drama, Romance            ;117;7,2;53;Fajar Bustomi;Tiara Andini;Jefri Nichol;Raja Giannuca;Petrus Mahendra
Dangdut is My Music;2016;SU; Documentary, Short, Drama            ;11;5,5;47;Adinda Assyfa Kamalia;Tiara Tahta;;;
Please Me Love;2012;SU; Short, Drama            ;11;7,6;41;Sidi Saleh;Tiga Setia Gara;Emil Heradi;;
Afternoon: Wife from the Future;2017;SU; Drama, Romance            ;12;8,5;35;Yandy Laurens;Tika Bravani;Samuel Oluoko;Maria Nikolcheva;Dion Wiyoko
Proud Parent;2016;SU; Short, Drama            ;8;1,5;33;Ashram Shahrivar;Tika Bravani;Sri Hartini;Joko Suwandi;
Red CobeX;2010;SU; Comedy            ;105;5,7;32;Upi Avianto;Tika Panggabean;Indi Barends;Sellen Fernandez;Irvan Hakim
6,9 Detik;2019;SU; Biography, Drama, Sport            ;78;6,6;12;Lola Amaria;Tika Pramesti;Aries Susanti Rahayu;Ariyo Wahab;Kayla Ardianto
Queen Bee;2009;SU; Drama            ;107;4,8;26;Fajar Nugros;Tika Putri;Mathias Muchus;Oka Antara;Reza Rahadian
Leher Angsa;2013;SU; Family            ;116;3,3;75;Ari Sihasale;Tike Priatnakusumah;Ringgo Agus Rahman;Lukman Sardi;Alexandra Gottardo
Headshot;2016;21+; Action, Drama, Thriller            ;118;6,3;15026;Kimo Stamboel;Timo Tjahjanto;Iko Uwais;Chelsea Islan;Sunny Pang
Killers;2014;13+; Action, Crime, Drama            ;137;6,4;5118;Kimo Stamboel;Timo Tjahjanto;Kazuki Kitamura;Oka Antara;Rin Takanashi
Macabre;2009;D; Drama, Horror, Thriller            ;95;6,4;3427;Kimo Stamboel;Timo Tjahjanto;Shareefa Daanish;Julie Estelle;Ario Bayu
Dara;2007;17+; Short, Comedy, Horror            ;22;7,2;174;Kimo Stamboel;Timo Tjahjanto;Shareefa Daanish;Ruly Lubis;Mike Lucock
Lari dari Blora;2007;13+; Drama            ;113;5,6;9;Akhlis Suryapati;Tina Astari;Fadli Fuad;Iswar Kelana;Octav Kriwil
Insya Allah Ada Jalan;2012;13+; Drama            ;60;6,3;6;Hadad Alwi;Tina Astari;Fitri Ayu;Jian Batari;
Hidup Untuk Mati;2011;SU; Documentary, Family, History            ;66;5,2;6;Tino Saroengallo;Tino Saroengallo;;;
Pantja Sila: Cita-Cita & Realita;2016;SU; Documentary, History            ;78;9;7;Tyo Pakusadewo;Tino Saroengallo;Wicaksono Wisnu Legowo;Tio Pakusadewo;Tyo Pakusadewo
Pertaruhan;2017;13+; Action, Crime, Drama            ;106;6,4;158;Krishto D. Alam;Tio Pakusadewo;Adipati Dolken;Aliando Syarief;Jefri Nichol
Tebus;2011;13+; Crime, Horror, Thriller            ;100;4,5;16;Muhammad Yusuf;Tio Pakusadewo;Chintami Atmanegara;Revaldo;Sheila Marcia
Siti Bling Bling;2014;13+; Action, Drama            ;36;7,2;19;Vemmy Sagita;Tio Pakusadewo;Mikha Tambayong;Johan Morgan Purba;Pierre Gruno
Surat Untukmu;2016;13+; Drama, Mystery            ;97;9,1;22;Harris Nizam;Tio Pakusadewo;Prilly Latuconsina;Arbani Yasiz;Gritte Agatha
Rayya, Cahaya di Atas Cahaya;2012;13+; Drama            ;100;7,8;46;Viva Westi;Tio Pakusadewo;Titi Rajo Bintang;Verdi Solaiman;Alex Abbad
Sekala;2020;13+; Short, Drama            ;9;3,7;879;Umar Najmuddin;Tirta Karunia;Rizky Waiz;;
KKN di Desa Penari;2022;D17+; Horror, Mystery            ;130;6;1713;Awi Suryadi;Tissa Biani Azzahra;Adinda Thomas;Achmad Megantara;Aghniny Haque
KKN di Desa Penari: Luwih Dowo, Luwih Medeni;2022;13+; Horror            ;170;6,1;860;Awi Suryadi;Tissa Biani Azzahra;Adinda Thomas;Achmad Megantara;Aghniny Haque
Ayat-Ayat Adinda;2015;13+; Drama            ;100;6,2;7;Hestu Saputra;Tissa Biani Azzahra;Surya Saputra;Cynthia Lamusu;Deddy Sutomo
Perfect Dream;2017;13+; Drama            ;111;6,9;10;Hestu Saputra;Tissa Biani Azzahra;Wulan Guritno;Olga Lydia;Rara Nawangsih
The Sunny Side Up Story;2020;13+; Short, Drama            ;20;3,8;8;Gin Teguh;Tita Briliana;Aditya Putra;Sekar Sari;
